Model,memSize,memBusWidth,gpuClock,memClock,tmu,rop,igp,bus,memType,gpuChip
RTX 4050,8,128,1925,2250,120,48,No,PCIe 4.0 x16,GDDR6,AD106
Arc A350M,4,64,300,1500,48,24,No,PCIe 4.0 x8,GDDR6,DG2-128
Arc A370M,4,64,300,1500,64,32,No,PCIe 4.0 x8,GDDR6,DG2-128
Arc A380,4,64,300,1500,64,32,No,PCIe 4.0 x8,GDDR6,DG2-128
Arc A550M,8,128,300,1500,128,64,No,PCIe 4.0 x16,GDDR6,DG2-512
Arc A730M,12,192,300,1500,192,96,No,PCIe 4.0 x16,GDDR6,DG2-512
Arc A770,16,256,300,1500,256,128,No,PCIe 4.0 x16,GDDR6,DG2-512
Arc A770M,16,256,300,1500,256,128,No,PCIe 4.0 x16,GDDR6,DG2-512
Arc A780,16,256,300,1093,256,128,No,PCIe 4.0 x16,GDDR6X,DG2-512
Arctic Sound-M,16,4096,900,1200,256,128,No,PCIe 4.0 x16,HBM2e,Arctic Sound
MX550,2,64,1065,1500,32,16,No,PCIe 4.0 x8,GDDR6,TU117
MX570,4,64,1087,1500,64,40,No,PCIe 4.0 x8,GDDR6,GA107S
RTX 3050 4 GB,4,128,1545,1750,72,32,No,PCIe 4.0 x8,GDDR6,GA107
RTX 3050 8 GB,8,128,1552,1750,80,32,No,PCIe 4.0 x8,GDDR6,GA106
RTX 3050 8 GB GA107,8,128,1552,1750,80,32,No,PCIe 4.0 x8,GDDR6,GA107
RTX 3050 OEM,8,128,1515,1750,80,32,No,PCIe 4.0 x8,GDDR6,GA106
RTX 3060 Ti GA103,8,256,1410,1750,152,80,No,PCIe 4.0 x16,GDDR6,GA103S
RTX 3070 Ti Mobile,8,256,915,1750,176,80,No,PCIe 4.0 x16,GDDR6,GA104
RTX 3080 12 GB,12,384,1260,1188,280,96,No,PCIe 4.0 x16,GDDR6X,GA102
RTX 3080 Ti 20 GB,20,320,1335,1188,320,112,No,PCIe 4.0 x16,GDDR6X,GA102
RTX 3080 Ti Max-Q,16,256,585,1500,232,96,No,PCIe 4.0 x16,GDDR6,GA103S
RTX 3080 Ti Mobile,16,256,810,2000,232,96,No,PCIe 4.0 x16,GDDR6,GA103S
RTX 3090 Ti,24,384,1560,1313,336,112,No,PCIe 4.0 x16,GDDR6X,GA102
RTX 4060,12,192,1925,2250,184,64,No,PCIe 4.0 x16,GDDR6,AD104
RTX 4070,12,192,1925,2250,240,80,No,PCIe 4.0 x16,GDDR6,AD104
RTX 4080,16,256,1925,2250,304,96,No,PCIe 4.0 x16,GDDR6X,AD103
RTX 4080 Ti,20,320,1895,1325,440,144,No,PCIe 4.0 x16,GDDR6X,AD102
RTX 4090,24,384,1815,1325,544,192,No,PCIe 4.0 x16,GDDR6X,AD102
H100 PCIe,80,5120,1065,1000,456,24,No,PCIe 5.0 x16,HBM2e,GH100
H100 SXM5,80,5120,1065,1500,528,24,No,PCIe 5.0 x16,HBM3,GH100
Iris Xe Graphics 80EU,,,300,,40,20,Yes,Ring Bus,System Shared,Alder Lake GT1
Iris Xe Graphics 96EU,,,300,,48,24,Yes,Ring Bus,System Shared,Alder Lake GT1
Radeon 660M,,,1500,,24,16,Yes,PCIe 4.0 x8,System Shared,Rembrandt
Radeon 680M,,,2000,,48,32,Yes,PCIe 4.0 x8,System Shared,Rembrandt
Radeon Pro W6400,4,64,2331,1750,48,32,No,PCIe 4.0 x4,GDDR6,Navi 24
RX 6300M,2,32,2000,2250,48,32,No,PCIe 4.0 x4,GDDR6,Navi 24
RX 6400,4,64,1923,2000,48,32,No,PCIe 4.0 x4,GDDR6,Navi 24
RX 6500 XT,4,64,2310,2248,64,32,No,PCIe 4.0 x4,GDDR6,Navi 24
RX 6500M,4,64,2000,2250,64,32,No,PCIe 4.0 x4,GDDR6,Navi 24
RX 6600S,4,128,1700,1750,112,64,No,PCIe 4.0 x8,GDDR6,Navi 23
RX 6650 XT,8,128,2055,2190,128,64,No,PCIe 4.0 x8,GDDR6,Navi 23
RX 6650M,8,128,2068,2000,112,64,No,PCIe 4.0 x8,GDDR6,Navi 23
RX 6650M XT,8,128,2068,2000,128,64,No,PCIe 4.0 x8,GDDR6,Navi 23
RX 6700S,8,128,1700,1750,112,64,No,PCIe 4.0 x8,GDDR6,Navi 23
RX 6750 XT,12,192,2150,2250,160,64,No,PCIe 4.0 x16,GDDR6,Navi 22
RX 6800S,8,128,1800,2000,128,64,No,PCIe 4.0 x8,GDDR6,Navi 23
RX 6850M XT,12,192,2321,2000,160,64,No,PCIe 4.0 x16,GDDR6,Navi 22
RX 6950 XT,16,256,1925,2250,320,128,No,PCIe 4.0 x16,GDDR6,Navi 21
RX 7700 XT,8,128,1800,2250,256,128,No,PCIe 5.0 x16,GDDR6,Navi 33
RX 7800 XT,12,192,1800,2250,512,192,No,PCIe 5.0 x16,GDDR6,Navi 32
RX 7900 XT,16,256,1800,2250,768,256,No,PCIe 5.0 x16,GDDR6,Navi 31
RTX A5500,24,384,1170,2000,320,96,No,PCIe 4.0 x16,GDDR6,GA102
RTX A5500 Mobile,16,256,900,1750,232,96,No,PCIe 4.0 x16,GDDR6,GA103S
Steam Deck GPU,16,128,1000,1375,32,8,No,IGP,LPDDR5,Van Gogh
UHD Graphics 48EU,,,300,,24,12,Yes,Ring Bus,System Shared,Alder Lake GT1
UHD Graphics 64EU,,,300,,32,16,Yes,Ring Bus,System Shared,Alder Lake GT1
UHD Graphics 710,,,300,,8,8,Yes,Ring Bus,System Shared,Alder Lake GT1
UHD Graphics 730,,,300,,12,8,Yes,Ring Bus,System Shared,Alder Lake GT1
A10 PCIe,24,384,885,1563,288,96,No,PCIe 4.0 x16,GDDR6,GA102
A100 PCIe 80 GB,80,5120,1065,1593,432,160,No,PCIe 4.0 x16,HBM2e,GA100
A10G,12,384,1320,1563,288,96,No,PCIe 4.0 x16,GDDR6,GA102
A16 PCIe,16,128,885,1812,40,32,No,PCIe 4.0 x8,GDDR6,GA107
A2,16,128,1440,1563,40,32,No,PCIe 4.0 x8,GDDR6,GA107
A30 PCIe,24,3072,930,1215,224,96,No,PCIe 4.0 x16,HBM2,GA100
Arctic Sound 1T,16,4096,900,1200,192,96,No,PCIe 4.0 x16,HBM2e,Arctic Sound
Arctic Sound 2T,16,4096,900,1200,240,120,No,PCIe 4.0 x16,HBM2e,Arctic Sound
CMP 170HX,16,4096,1140,1458,280,128,No,PCIe 4.0 x4,HBM2e,GA100
CMP 30HX,6,192,1530,1750,88,48,No,PCIe 3.0 x4,GDDR6,TU116
CMP 40HX,8,256,1470,1750,144,64,No,PCIe 3.0 x16,GDDR6,TU106
CMP 50HX,10,320,1350,1750,192,80,No,PCIe 3.0 x16,GDDR6,TU102
CMP 70HX,8,256,1365,1188,192,96,No,PCIe 4.0 x16,GDDR6X,GA104
CMP 90HX,10,320,1500,1188,200,80,No,PCIe 4.0 x16,GDDR6X,GA102
GT 1010,2,64,1228,1502,16,8,No,PCIe 3.0 x4,GDDR5,GP108
GT 1010 DDR4,2,64,1228,1050,16,8,No,PCIe 3.0 x4,DDR4,GP108
RTX 2050 Mobile,4,64,1185,1750,64,32,No,PCIe 3.0 x8,GDDR6,GA107
RTX 2060 12 GB,12,192,1470,1750,136,48,No,PCIe 3.0 x16,GDDR6,TU106
RTX 3050 Mobile,4,128,712,1500,64,32,No,PCIe 4.0 x8,GDDR6,GA107
RTX 3050 Ti Mobile,4,128,735,1500,80,32,No,PCIe 4.0 x8,GDDR6,GA107
RTX 3050 Ti Mobile,4,128,735,1500,80,48,No,PCIe 4.0 x16,GDDR6,GA106
RTX 3060,12,192,1320,1875,112,48,No,PCIe 4.0 x16,GDDR6,GA106
RTX 3060 GA104,12,192,1320,1875,112,48,No,PCIe 4.0 x16,GDDR6,GA104
RTX 3060 Max-Q,6,192,817,1500,120,48,No,PCIe 4.0 x16,GDDR6,GA106
RTX 3060 Mobile,6,192,900,1750,120,48,No,PCIe 4.0 x16,GDDR6,GA106
RTX 3070 Max-Q,8,256,780,1500,160,80,No,PCIe 4.0 x16,GDDR6,GA104
RTX 3070 Mobile,8,256,1110,1750,160,80,No,PCIe 4.0 x16,GDDR6,GA104
RTX 3070 Ti,8,256,1575,1188,192,96,No,PCIe 4.0 x16,GDDR6X,GA104
RTX 3080 Max-Q,8,256,780,1500,192,96,No,PCIe 4.0 x16,GDDR6,GA104
RTX 3080 Mobile,8,256,1110,1750,192,96,No,PCIe 4.0 x16,GDDR6,GA104
RTX 3080 Ti,12,384,1365,1188,320,112,No,PCIe 4.0 x16,GDDR6X,GA102
PG506-232,24,3072,930,1215,224,96,No,PCIe 4.0 x16,HBM2,GA100
PG506-242,24,3072,930,1215,224,96,No,PCIe 4.0 x16,HBM2,GA100
Quadro T1200 Mobile,4,128,855,1250,64,32,No,PCIe 3.0 x16,GDDR6,TU117
Radeon Graphics 448SP,,,300,,32,8,Yes,IGP,System Shared,Lucienne
Radeon Instinct MI210,64,4096,1000,1600,416,0,No,PCIe 4.0 x16,HBM2e,Aldebaran
Radeon Instinct MI250,128,8192,1000,1600,832,0,No,PCIe 4.0 x16,HBM2e,Aldebaran
Radeon Instinct MI250X,128,8192,1000,1600,880,0,No,PCIe 4.0 x16,HBM2e,Aldebaran
Radeon Pro V620,32,256,1825,2000,288,128,No,PCIe 4.0 x16,GDDR6,Navi 21
Radeon Pro W6600,8,128,2331,1750,112,64,No,PCIe 4.0 x16,GDDR6,Navi 23
Radeon Pro W6600M,8,128,2200,1750,112,64,No,PCIe 4.0 x16,GDDR6,Navi 23
Radeon Pro W6800,32,256,2075,2000,240,96,No,PCIe 4.0 x16,GDDR6,Navi 21
Radeon Pro W6800X,32,256,1800,2000,240,96,No,PCIe 4.0 x16,GDDR6,Navi 21
Radeon Pro W6800X Duo,32,256,1800,2000,240,96,No,PCIe 4.0 x16,GDDR6,Navi 21
Radeon Pro W6900X,32,256,1825,2000,320,128,No,PCIe 4.0 x16,GDDR6,Navi 21
RX 6600,8,128,1626,1750,112,64,No,PCIe 4.0 x8,GDDR6,Navi 23
RX 6600 XT,8,128,1968,2000,128,64,No,PCIe 4.0 x8,GDDR6,Navi 23
RX 6600M,8,128,2068,1750,112,64,No,PCIe 4.0 x8,GDDR6,Navi 23
RX 6700,6,192,2200,2000,144,64,No,PCIe 4.0 x16,GDDR6,Navi 22
RX 6700 XT,12,192,2321,2000,160,64,No,PCIe 4.0 x16,GDDR6,Navi 22
RX 6700M,10,160,1489,2000,144,64,No,PCIe 4.0 x16,GDDR6,Navi 22
RX 6800M,12,192,2116,2000,160,64,No,PCIe 4.0 x16,GDDR6,Navi 22
Radeon Vega 6,,,300,,24,8,Yes,IGP,System Shared,Cezanne
Radeon Vega 6 Mobile,,,300,,24,8,Yes,IGP,System Shared,Cezanne
Radeon Vega 7,,,300,,28,8,Yes,IGP,System Shared,Cezanne
Radeon Vega 7 Mobile,,,300,,28,8,Yes,IGP,System Shared,Cezanne
Radeon Vega 8,,,300,,32,8,Yes,IGP,System Shared,Cezanne
Radeon Vega 8 Mobile,,,300,,32,8,Yes,IGP,System Shared,Cezanne
RTX A1000 Embedded,4,128,1192,1500,64,48,No,PCIe 4.0 x16,GDDR6,GA107S
RTX A2000,6,192,562,1500,104,48,No,PCIe 4.0 x16,GDDR6,GA106
RTX A2000 12 GB,12,192,562,1500,104,48,No,PCIe 4.0 x16,GDDR6,GA106
RTX A2000 Embedded,8,128,1117,1500,80,48,No,PCIe 4.0 x16,GDDR6,GA107S
RTX A2000 Mobile,4,128,893,1375,80,48,No,PCIe 4.0 x16,GDDR6,GA106
RTX A3000 Mobile,6,192,1260,1375,128,64,No,PCIe 4.0 x16,GDDR6,GA104
RTX A3000 Mobile 12 GB,12,192,1020,1375,128,64,No,PCIe 4.0 x16,GDDR6,GA104
RTX A3000 Mobile 12 GB,12,192,495,1375,128,64,No,PCIe 4.0 x16,GDDR6,GA104
RTX A4 Mobile,4,128,1237,1750,64,32,No,PCIe 4.0 x8,GDDR6,GA107
RTX A4000,16,256,735,1750,192,96,No,PCIe 4.0 x16,GDDR6,GA104
RTX A4000 Mobile,8,256,1140,1500,160,80,No,PCIe 4.0 x16,GDDR6,GA104
RTX A4500,20,320,1050,2000,224,96,No,PCIe 4.0 x16,GDDR6,GA102
RTX A4500 Embedded,16,256,930,2000,184,80,No,PCIe 4.0 x16,GDDR6,GA104
RTX A4500 Mobile,12,192,855,1500,176,80,No,PCIe 4.0 x16,GDDR6,GA104
RTX A500 Embedded,4,64,1192,1750,64,48,No,PCIe 4.0 x16,GDDR6,GA107S
RTX A5000,24,384,1170,2000,256,96,No,PCIe 4.0 x16,GDDR6,GA102
RTX A5000 Mobile,16,256,900,1750,192,96,No,PCIe 4.0 x16,GDDR6,GA104
T1000,4,128,1065,1250,56,32,No,PCIe 3.0 x16,GDDR6,TU117
T1000 8 GB,8,128,1065,1250,56,32,No,PCIe 3.0 x16,GDDR6,TU117
T400,2,64,420,1250,24,16,No,PCIe 3.0 x16,GDDR6,TU117
T400 4 GB,4,64,420,1250,24,16,No,PCIe 3.0 x16,GDDR6,TU117
T600,4,128,735,1250,40,32,No,PCIe 3.0 x16,GDDR6,TU117
T600 Mobile,4,128,930,1250,40,32,No,PCIe 3.0 x16,GDDR6,TU117
UHD Graphics,,,350,,16,8,Yes,Ring Bus,System Shared,Tiger Lake GT1
UHD Graphics,,,350,,16,8,Yes,Ring Bus,System Shared,Jasper Lake GT1
UHD Graphics,,,300,,8,8,Yes,Ring Bus,System Shared,Rocket Lake GT1
UHD Graphics 730,,,300,,12,8,Yes,Ring Bus,System Shared,Rocket Lake GT1
UHD Graphics 750,,,300,,16,8,Yes,Ring Bus,System Shared,Rocket Lake GT1
UHD Graphics 770,,,300,,16,8,Yes,Ring Bus,System Shared,Alder Lake GT1
UHD Graphics P750,,,300,,64,32,Yes,Ring Bus,System Shared,Rocket Lake GT1
A100 PCIe,40,5120,765,1215,432,160,No,PCIe 4.0 x16,HBM2e,GA100
A100 SXM4 40 GB,40,5120,1095,1215,432,160,No,PCIe 4.0 x16,HBM2e,GA100
A100 SXM4 80 GB,80,5120,1275,1593,432,160,No,PCIe 4.0 x16,HBM2e,GA100
A40 PCIe,48,384,1305,1812,336,112,No,PCIe 4.0 x16,GDDR6,GA102
AeroBox GPU,8,256,935,1066,56,16,No,IGP,DDR3,Kryptos
Atari VCS 400 GPU,4,128,300,1200,12,4,No,IGP,DDR4,Banded Kestrel
Atari VCS 800 GPU,8,128,300,1200,12,4,No,IGP,DDR4,Banded Kestrel
GTX 1650 GDDR6,4,128,1410,1500,56,32,No,PCIe 3.0 x16,GDDR6,TU117
GTX 1650 Max-Q,4,128,930,1250,64,32,No,PCIe 3.0 x16,GDDR6,TU117
GTX 1650 Mobile,4,128,1380,1500,64,32,No,PCIe 3.0 x16,GDDR6,TU117
GTX 1650 Ti Max-Q,4,128,1035,1250,64,32,No,PCIe 3.0 x16,GDDR6,TU117
GTX 1650 Ti Mobile,4,128,1350,1500,64,32,No,PCIe 3.0 x16,GDDR6,TU117
GTX 1650 Ti Mobile,4,128,1350,1500,64,32,No,PCIe 3.0 x16,GDDR6,TU116
GTX 1650 TU106,4,128,1410,1500,56,32,No,PCIe 3.0 x16,GDDR6,TU106
GTX 1650 TU116,4,128,1410,1500,56,32,No,PCIe 3.0 x16,GDDR6,TU116
MX330,2,64,1531,1752,24,16,No,PCIe 3.0 x4,GDDR5,GP108
MX350,2,64,1354,1752,32,16,No,PCIe 3.0 x4,GDDR5,GP107
MX350,2,64,747,1752,32,16,No,PCIe 3.0 x4,GDDR5,GP107
MX450 25W,2,64,720,1250,56,32,No,PCIe 4.0 x4,GDDR6,TU117
MX450 30.5W 10Gbps,2,64,1395,1250,56,32,No,PCIe 4.0 x4,GDDR6,TU117
MX450 30.5W 8Gbps,2,64,1035,2000,56,32,No,PCIe 4.0 x4,GDDR5,TU117
RTX 2060 Max-Q,6,192,975,1375,120,48,No,PCIe 3.0 x16,GDDR6,TU106
RTX 2060 TU104,6,192,1365,1750,120,48,No,PCIe 3.0 x16,GDDR6,TU104
RTX 2070 Max-Q Refresh,8,256,900,1375,144,64,No,PCIe 3.0 x16,GDDR6,TU106B
RTX 2070 Mobile Refresh,8,256,1260,1375,144,64,No,PCIe 3.0 x16,GDDR6,TU106B
RTX 2070 SUPER Max-Q,8,256,930,1375,160,64,No,PCIe 3.0 x16,GDDR6,TU104
RTX 2070 SUPER Mobile,8,256,1140,1750,160,64,No,PCIe 3.0 x16,GDDR6,TU104
RTX 2080 SUPER Max-Q,8,256,735,1375,192,64,No,PCIe 3.0 x16,GDDR6,TU104
RTX 2080 SUPER Mobile,8,256,1365,1750,192,64,No,PCIe 3.0 x16,GDDR6,TU104
RTX 3060 Ti,8,256,1410,1750,152,80,No,PCIe 4.0 x16,GDDR6,GA104
RTX 3070,8,256,1500,1750,184,96,No,PCIe 4.0 x16,GDDR6,GA104
RTX 3080,10,320,1440,1188,272,96,No,PCIe 4.0 x16,GDDR6X,GA102
RTX 3090,24,384,1395,1219,328,112,No,PCIe 4.0 x16,GDDR6X,GA102
GRID A100A,48,6144,900,1215,432,192,No,PCIe 4.0 x16,HBM2e,GA100
GRID A100B,48,6144,900,1215,432,192,No,PCIe 4.0 x16,HBM2e,GA100
GRID RTX T10-16,16,384,1065,1575,288,96,No,PCIe 3.0 x16,GDDR6,TU102
GRID RTX T10-2,2,384,1065,1750,288,96,No,PCIe 3.0 x16,GDDR6,TU102
GRID RTX T10-4,4,384,1065,1750,288,96,No,PCIe 3.0 x16,GDDR6,TU102
GRID RTX T10-8,8,384,1065,1750,288,96,No,PCIe 3.0 x16,GDDR6,TU102
H3C XG310,8,128,900,2133,48,24,No,PCIe 3.0 x16,LPDDR4X,DG1
Iris Plus Graphics G7,,,300,,32,8,Yes,Ring Bus,System Shared,Ice Lake GT2
Iris Xe Graphics G4,,,300,,24,12,Yes,Ring Bus,System Shared,Tiger Lake GT2
Iris Xe Graphics G7 80EU,,,300,,40,20,Yes,Ring Bus,System Shared,Tiger Lake GT2
Iris Xe Graphics G7 96EU,,,300,,48,24,Yes,Ring Bus,System Shared,Tiger Lake GT2
Iris Xe MAX Graphics,4,128,300,2133,48,24,No,PCIe 4.0 x8,LPDDR4X,DG1
Jetson Xavier NX GPU,,,854,,24,16,Yes,IGP,System Shared,GV10B
Playstation 5 GPU,16,256,2233,1750,144,64,No,IGP,GDDR6,Oberon
Quadro RTX 5000 Mobile Refresh,16,256,1035,1750,192,64,No,PCIe 3.0 x16,GDDR6,TU104B
Quadro RTX 6000 Mobile,24,384,1275,1750,288,96,No,PCIe 3.0 x16,GDDR6,TU102
Quadro T1000 Mobile GDDR6,4,128,1395,1500,56,32,No,PCIe 3.0 x16,GDDR6,TU117B
Radeon Graphics 320SP,,,400,,20,8,Yes,IGP,System Shared,Renoir
Radeon Graphics 384SP,,,400,,24,8,Yes,IGP,System Shared,Renoir
Radeon Graphics 448SP,,,400,,28,8,Yes,IGP,System Shared,Renoir
Radeon Graphics 512SP,,,400,,32,8,Yes,IGP,System Shared,Renoir
Radeon Graphics 512SP,,,400,,32,8,Yes,IGP,System Shared,Renoir
Radeon Instinct MI100,32,4096,1000,1200,480,64,No,PCIe 4.0 x16,HBM2,Arcturus
Radeon Pro 5300,4,128,1000,1750,80,32,No,PCIe 4.0 x8,GDDR6,Navi 14
Radeon Pro 5500 XT,8,128,1187,1750,96,32,No,PCIe 4.0 x8,GDDR6,Navi 14
Radeon Pro 5600M,8,2048,1000,770,160,64,No,PCIe 4.0 x16,HBM2,Navi 12
Radeon Pro 5700,8,256,1243,1500,144,64,No,PCIe 4.0 x16,GDDR6,Navi 10
Radeon Pro 5700 XT,16,256,1243,1500,160,64,No,PCIe 4.0 x16,GDDR6,Navi 10
Radeon Pro V520,8,2048,1000,1000,144,64,No,PCIe 4.0 x16,HBM2,Navi 12
Radeon Pro VII,16,4096,1400,1000,240,64,No,PCIe 4.0 x16,HBM2,Vega 20
Radeon Pro W5500,8,128,1744,1750,88,32,No,PCIe 4.0 x8,GDDR6,Navi 14
Radeon Pro W5500M,4,128,1000,1750,88,32,No,PCIe 4.0 x8,GDDR6,Navi 14
RX 5300,3,96,1327,1750,88,32,No,PCIe 4.0 x8,GDDR6,Navi 14
RX 5600 OEM,6,192,1130,1500,128,64,No,PCIe 4.0 x16,GDDR6,Navi 10
RX 5600 XT,6,192,1130,1500,144,64,No,PCIe 4.0 x16,GDDR6,Navi 10
RX 5600M,6,192,1035,1500,144,64,No,PCIe 4.0 x16,GDDR6,Navi 10
RX 5700M,8,256,1465,1500,144,64,No,PCIe 4.0 x16,GDDR6,Navi 10
RX 590 GME,8,256,1257,2000,144,32,No,PCIe 3.0 x16,GDDR5,Polaris 20
RX 6800,16,256,1700,2000,240,96,No,PCIe 4.0 x16,GDDR6,Navi 21
RX 6800 XT,16,256,1825,2000,288,128,No,PCIe 4.0 x16,GDDR6,Navi 21
RX 6900 XT,16,256,1825,2000,320,128,No,PCIe 4.0 x16,GDDR6,Navi 21
Radeon Vega 3 Mobile,,,300,,12,4,Yes,IGP,System Shared,Picasso
RTX A6000,48,384,1410,2000,336,112,No,PCIe 4.0 x16,GDDR6,GA102
T500 Mobile,2,64,1365,1250,56,32,No,PCIe 3.0 x16,GDDR6,TU117
UHD Graphics 610,,,350,,12,2,Yes,Ring Bus,System Shared,Comet Lake GT1
UHD Graphics 630,,,350,,24,3,Yes,Ring Bus,System Shared,Comet Lake GT2
UHD Graphics 630,,,350,,23,3,Yes,Ring Bus,System Shared,Comet Lake GT2
UHD Graphics G4,,,200,,32,8,Yes,Ring Bus,System Shared,Lakefield GT1
UHD Graphics G7,,,200,,32,8,Yes,Ring Bus,System Shared,Lakefield GT2
UHD Graphics P630,,,350,,24,3,Yes,Ring Bus,System Shared,Comet Lake GT2
UHD Graphics P630,,,350,,24,3,Yes,Ring Bus,System Shared,Comet Lake GT2
Xbox Series S GPU,8,128,1565,1750,80,32,No,IGP,GDDR6,Lockhart
Xbox Series X GPU,10,320,1825,1750,208,64,No,IGP,GDDR6,Scarlett
GTX 1050 Mobile 3 GB,3,96,1366,1752,48,24,No,PCIe 3.0 x16,GDDR5,GP107
GTX 1650,4,128,1485,2001,56,32,No,PCIe 3.0 x16,GDDR5,TU117
GTX 1650 Max-Q,4,128,1020,1751,64,32,No,PCIe 3.0 x16,GDDR5,TU117
GTX 1650 Mobile,4,128,1395,2001,64,32,No,PCIe 3.0 x16,GDDR5,TU117
GTX 1650 SUPER,4,128,1530,1500,80,32,No,PCIe 3.0 x16,GDDR6,TU116
GTX 1660,6,192,1530,2001,88,48,No,PCIe 3.0 x16,GDDR5,TU116
GTX 1660 SUPER,6,192,1530,1750,88,48,No,PCIe 3.0 x16,GDDR6,TU116
GTX 1660 Ti,6,192,1500,1500,96,48,No,PCIe 3.0 x16,GDDR6,TU116
GTX 1660 Ti Max-Q,6,192,1140,1500,96,48,No,PCIe 3.0 x16,GDDR6,TU116
GTX 1660 Ti Mobile,6,192,1455,1500,96,48,No,PCIe 3.0 x16,GDDR6,TU116
MX150 GP107,2,64,1469,1502,24,16,No,PCIe 3.0 x4,GDDR5,GP107
MX230,2,64,1519,1502,16,16,No,PCIe 3.0 x4,GDDR5,GP108
MX250,2,64,1519,1502,24,16,No,PCIe 3.0 x4,GDDR5,GP108
MX250,2,64,937,1502,24,16,No,PCIe 3.0 x4,GDDR5,GP108B
RTX 2060,6,192,1365,1750,120,48,No,PCIe 3.0 x16,GDDR6,TU106
RTX 2060 Max-Q Refresh,6,192,960,1353,120,48,No,PCIe 3.0 x16,GDDR6,TU106B
RTX 2060 Mobile,6,192,960,1750,120,48,No,PCIe 3.0 x16,GDDR6,TU106
RTX 2060 Mobile Refresh,6,192,1005,1375,120,48,No,PCIe 3.0 x16,GDDR6,TU106B
RTX 2060 SUPER,8,256,1470,1750,136,64,No,PCIe 3.0 x16,GDDR6,TU106
RTX 2070 Max-Q,8,256,885,1500,144,64,No,PCIe 3.0 x16,GDDR6,TU106
RTX 2070 Mobile,8,256,1215,1750,144,64,No,PCIe 3.0 x16,GDDR6,TU106
RTX 2070 SUPER,8,256,1605,1750,160,64,No,PCIe 3.0 x16,GDDR6,TU104
RTX 2080 Max-Q,8,256,735,1500,184,64,No,PCIe 3.0 x16,GDDR6,TU104
RTX 2080 Mobile,8,256,1380,1750,184,64,No,PCIe 3.0 x16,GDDR6,TU104
RTX 2080 SUPER,8,256,1650,1937,192,64,No,PCIe 3.0 x16,GDDR6,TU104
Iris Plus Graphics 645,,,300,,48,6,Yes,Ring Bus,System Shared,Coffee Lake GT3e
Iris Plus Graphics G4,,,300,,24,8,Yes,Ring Bus,System Shared,Ice Lake GT1
Jetson Nano GPU,,,640,,16,16,Yes,IGP,System Shared,GM20B
P106M,4,128,1291,1502,72,32,No,PCIe 3.0 x16,GDDR5,GP106
Quadro P2000 Mobile,3.75,128,1291,1502,72,32,No,PCIe 3.0 x16,GDDR5,GP106
Quadro P2200,5,160,1000,1251,80,40,No,PCIe 3.0 x16,GDDR5X,GP106
Quadro P520 Mobile,2,64,1303,1502,24,16,No,PCIe 3.0 x16,GDDR5,GP108
Quadro RTX 3000 Max-Q,6,192,600,1500,120,64,No,PCIe 3.0 x16,GDDR6,TU106
Quadro RTX 3000 Mobile,6,192,945,1750,120,64,No,PCIe 3.0 x16,GDDR6,TU106
Quadro RTX 3000 Mobile Refresh,6,192,945,1750,120,64,No,PCIe 3.0 x16,GDDR6,TU106
Quadro RTX 4000 Max-Q,8,256,780,1625,160,64,No,PCIe 3.0 x16,GDDR6,TU104
Quadro RTX 4000 Mobile,8,256,1110,1750,160,64,No,PCIe 3.0 x16,GDDR6,TU104
Quadro RTX 5000 Max-Q,16,256,600,1500,192,64,No,PCIe 3.0 x16,GDDR6,TU104
Quadro RTX 5000 Mobile,16,256,1365,1750,192,64,No,PCIe 3.0 x16,GDDR6,TU104
Quadro T1000 Max-Q,4,128,765,1250,56,32,No,PCIe 3.0 x16,GDDR5,TU117
Quadro T1000 Mobile,4,128,1395,2001,56,32,No,PCIe 3.0 x16,GDDR5,TU117
Quadro T2000 Max-Q,4,128,1200,1751,64,32,No,PCIe 3.0 x16,GDDR5,TU117
Quadro T2000 Mobile,4,128,1575,2001,64,32,No,PCIe 3.0 x16,GDDR5,TU117
Radeon 540 Mobile,2,64,1100,1500,32,16,No,PCIe 3.0 x8,GDDR5,Lexa
Radeon 540X Mobile,2,64,980,1000,32,16,No,PCIe 3.0 x8,GDDR5,Lexa
Radeon 550X,2,128,1082,1750,32,16,No,PCIe 3.0 x8,GDDR5,Lexa
Radeon 610 Mobile,2,64,1030,1000,20,8,No,PCIe 3.0 x8,GDDR5,Banks
Radeon 620 Mobile,2,64,730,900,24,8,No,PCIe 3.0 x8,DDR3,Polaris 24
Radeon 625 Mobile,2,64,730,900,24,8,No,PCIe 3.0 x8,DDR3,Polaris 24
Radeon 630 Mobile,2,128,1082,1500,32,16,No,PCIe 3.0 x8,GDDR5,Polaris 23
Radeon E9390 PCIe,8,256,713,1250,112,32,No,PCIe 3.0 x16,GDDR5,Ellesmere
Radeon E9560 PCIe,8,256,1120,1750,144,32,No,PCIe 3.0 x16,GDDR5,Ellesmere
Radeon Pro 5300M,4,128,1000,1500,80,32,No,PCIe 4.0 x8,GDDR6,Navi 14
Radeon Pro 5500M,8,128,1000,1500,96,32,No,PCIe 4.0 x8,GDDR6,Navi 14
Radeon Pro 570X,4,256,1000,1700,112,32,No,PCIe 3.0 x16,GDDR5,Polaris 20
Radeon Pro 575X,4,256,1096,1700,128,32,No,PCIe 3.0 x16,GDDR5,Polaris 20
